episode,reward,loss,epsilon,steps,duration_sec,ma_reward_50
0,-200.24654,2.1565133887235626,0.995,1603,38.165284872055054,-200.24654
1,-192.90294000000003,0.09407629192874799,0.990025,267,6.694390058517456,-196.57474000000002
2,-198.06078000000002,0.18810293104849674,0.985074875,411,10.746114015579224,-197.0700866666667
3,-190.54440000000002,0.2240810032871243,0.9801495006250001,401,10.082678079605103,-195.43866500000001
4,-198.4852,0.255890994902793,0.9752487531218751,281,7.343073129653931,-196.04797200000002
5,-198.35160000000002,0.34281786961648136,0.9703725093562657,273,6.900483131408691,-196.43191000000002
6,-192.78490000000002,0.3426307286785018,0.9655206468094844,911,23.57274031639099,-195.9109085714286
7,-194.71784000000002,0.2587773735973645,0.960693043575437,352,9.05138373374939,-195.76177500000003
8,-188.53384000000003,0.3990425521242722,0.9558895783575597,209,5.683405160903931,-194.95867111111113
9,-198.03104000000002,0.40963055921681435,0.9511101304657719,352,9.012290000915527,-195.26590800000002
10,-198.39458000000002,0.3862244258600756,0.946354579813443,274,7.022975921630859,-195.55033272727272
11,-185.97766000000001,0.4496041039549509,0.9416228069143757,590,14.980800151824951,-194.75261
12,-195.84738000000002,0.47827466773419763,0.9369146928798039,203,5.214202165603638,-194.83682307692308
13,-192.63536000000002,0.4326365327962611,0.9322301194154049,352,9.478826999664307,-194.67957571428573
14,-189.61456,0.29973437167864525,0.9275689688183278,209,5.521535873413086,-194.34190800000002
15,-5.1824799999999875,0.4411673261822076,0.9229311239742362,1040,27.924307823181152,-182.51944375000002
16,-192.41168000000002,0.47673077547155757,0.918316468354365,289,8.113562107086182,-183.10134
17,-192.8608,0.2938070310526691,0.9137248860125932,313,8.526782035827637,-183.64353222222223
18,-196.86722000000003,0.3799169489834831,0.9091562615825302,499,13.307836055755615,-184.33951578947372
19,-191.53058000000001,0.408188545728408,0.9046104802746175,847,23.971190929412842,-184.699069
20,-196.43200000000002,0.30563259572271273,0.9000874278732445,281,7.795126914978027,-185.25778000000003
21,-15.196240000000012,0.3960856477099918,0.8955869907338783,1184,31.68461799621582,-177.52771
22,-199.14312,0.3888260957655462,0.8911090557802088,561,14.924827098846436,-178.46751043478264
23,-187.76896000000002,0.35397970833815634,0.8866535105013078,425,11.397930145263672,-178.85507083333334
24,-190.52234,0.301135693766598,0.8822202429488013,451,11.996104001998901,-179.32176160000003
25,-187.53236,0.3273512955529381,0.8778091417340573,613,16.206707000732422,-179.63755384615388
26,-17.29160000000001,0.2916674263141086,0.8734200960253871,1624,42.99460506439209,-173.62474074074075
27,-5.350959999999995,0.2117624040544515,0.8690529955452602,1160,30.20139217376709,-167.61496285714287
28,-188.47114000000002,0.19613719160159307,0.8647077305675338,203,5.269598960876465,-168.33414137931038
29,-180.96324,0.17454506256738436,0.8603841919146962,501,13.176764249801636,-168.75511133333336
30,-198.35816000000003,0.16950934339270352,0.8560822709551227,273,7.165104150772095,-169.7100483870968
31,-189.19946,0.1822921166701428,0.851801859600347,391,10.184146165847778,-170.3190925
32,-13.28272000000001,0.2104828916102893,0.8475428503023453,896,23.351972818374634,-165.56041454545456
33,-189.33376,0.17089608038167609,0.8433051360508336,193,5.067111015319824,-166.25963058823532
34,-191.00064,0.16973372681687277,0.8390886103705794,225,5.881518125534058,-166.96651657142857
35,-197.34086000000002,0.10507387558446966,0.8348931673187264,274,7.2093682289123535,-167.81024833333333
36,-190.69804000000002,0.17471763308042834,0.8307187014821328,461,12.130435228347778,-168.42883729729732
37,-185.97754,0.21401136692485487,0.8265651079747222,386,10.043339967727661,-168.89064526315792
38,-197.13532000000004,0.1870610262125876,0.8224322824348486,461,12.144801139831543,-169.6148676923077
39,-191.2412,0.287387256098784,0.8183201210226743,337,8.789969205856323,-170.155526
40,-193.7752,0.2788821801601165,0.8142285204175609,209,5.556446075439453,-170.73161560975612
41,-197.18388000000002,0.21968380305283133,0.810157377815473,309,8.165233135223389,-171.36143142857145
42,-195.98544000000004,0.2889019304832987,0.8061065909263957,209,5.4642720222473145,-171.9340827906977
43,-195.28112000000002,0.2179293469318913,0.8020760579717637,225,5.86170220375061,-172.4646972727273
44,-199.56850000000003,0.2803128470683993,0.798065677681905,431,11.249489784240723,-173.067004
45,-199.94312000000002,0.29141953510671476,0.7940753492934954,352,9.220941066741943,-173.65126739130437
46,-199.88636000000002,0.31450253630748015,0.7901049725470279,1093,28.729307889938354,-174.20946085106385
47,-192.67124,0.3166879259432729,0.7861544476842928,253,6.5987091064453125,-174.59408125000002
48,-190.70426,0.5114542260650298,0.7822236754458713,511,13.394103050231934,-174.92286040816327
49,-178.22316000000006,0.45205405098594925,0.778312557068642,669,17.508074045181274,-174.9888664
50,1.3337600000000034,0.45619169044480906,0.7744209942832988,896,23.362915992736816,-170.95726040000002
51,-195.77900000000002,0.37459627939424966,0.7705488893118823,253,6.633723258972168,-171.01478160000002
52,-191.31712000000002,0.3088671099537109,0.7666961448653229,392,10.183297157287598,-170.87990840000003
53,-197.89912,0.3440943382402042,0.7628626641409962,1457,38.179444313049316,-171.02700280000002
54,-194.76800000000003,0.29984588104631066,0.7590483508202912,304,7.995740175247192,-170.95265880000002
55,-184.14536,0.32054982708756474,0.7552531090661897,352,9.260412216186523,-170.668534
56,-199.38086,0.44391005276991574,0.7514768435208588,322,8.401262044906616,-170.80045320000002
57,-195.57136000000003,0.4909120403765137,0.7477194593032545,289,7.751528024673462,-170.81752360000002
58,-186.47632,0.4025801138074525,0.7439808620067382,209,5.5149641036987305,-170.77637320000002
59,-9.007279999999986,0.4475615749168875,0.7402609576967045,1120,29.646587133407593,-166.995898
60,-195.4019,0.4273019280106305,0.736559652908221,235,6.14983606338501,-166.93604440000001
61,-193.37714,0.41709206957616135,0.7328768546436799,439,11.555887937545776,-167.08403400000003
62,-189.4173,0.3970983831723691,0.7292124703704616,303,8.068068981170654,-166.95543240000003
63,-192.74968,0.40254847855311615,0.7255664080186093,209,5.563381910324097,-166.9577188
64,-197.54356,0.4030520675987207,0.7219385759785162,332,8.932650089263916,-167.1162988
65,-197.59048,0.3468650796016605,0.7183288830986236,737,19.775787591934204,-170.96445880000002
66,-6.31632,0.37651687089270836,0.7147372386831305,696,18.45944595336914,-167.2425516
67,-190.82283999999999,0.3757415282285611,0.7111635524897149,917,24.185920000076294,-167.20179240000002
68,-194.25916,0.4417919285962897,0.7076077347272662,332,8.754541158676147,-167.14963120000002
69,-194.3193,0.369523819962024,0.7040696960536299,435,11.76656985282898,-167.2054056
70,-194.33512000000002,0.3893553620352222,0.7005493475733617,233,6.301380157470703,-167.16346800000002
71,-190.6876,0.3157844862446153,0.697046600835495,209,5.722916126251221,-170.67329520000004
72,-190.11032,0.3825278818764238,0.6935613678313175,184,4.959830045700073,-170.4926392
73,-189.95616,0.4911043893256121,0.6900935609921609,225,6.0385901927948,-170.53638320000002
74,-190.43676,0.40319493346537155,0.6866430931872001,300,7.91526198387146,-170.5346716
75,-186.16828,0.395290073918007,0.6832098777212641,293,7.658259868621826,-170.50739000000002
76,-194.27364000000003,0.4065792750960256,0.6797938283326578,372,9.830180168151855,-174.04703080000002
77,-196.09423999999999,0.3946964333987254,0.6763948591909945,2353,61.82193088531494,-177.8618964
78,-193.26494,0.3122908880078375,0.6730128848950395,382,10.094062805175781,-177.95777239999998
79,-192.28272000000004,0.40744573275594625,0.6696478204705644,233,5.989561080932617,-178.184162
80,-195.28112000000002,0.4219502000779741,0.6662995813682115,225,5.9079999923706055,-178.1226212
81,-194.7897,0.29444584954103337,0.6629680834613705,203,5.23902702331543,-178.234426
82,-188.52616000000003,0.38722515926567136,0.6596532430440636,209,5.483927965164185,-181.73929480000004
83,-183.72614000000002,0.388530413632364,0.6563549768288433,382,10.021525144577026,-181.62714240000003
84,-200.50448000000003,0.4219792058662828,0.653073201944699,424,11.048979043960571,-181.8172192
85,-190.39072000000002,0.5308936917225449,0.6498078359349755,193,5.029963731765747,-181.67821640000003
86,-192.00476,0.5573468076323087,0.6465587967553006,325,8.50548005104065,-181.70435080000004
