episode,reward,loss,epsilon,steps,duration_sec,ma_reward_50
0,-7.071200000000006,0.02698702946197175,0.00998645168764533,448,5.297697067260742,-7.071200000000006
1,-979.47924,0.03825037254218667,0.00998645168764533,677,6.063404083251953,-493.27522
2,-984.88182,1.3107984682072455,0.00998645168764533,134,1.1874909400939941,-657.1440866666667
3,-7.071200000000006,1.463097297944062,0.00998645168764533,448,3.9056448936462402,-494.625865
4,-978.2417,0.8960667274256379,0.00998645168764533,618,6.095577955245972,-591.349032
5,13.384880000000017,0.9000167096176632,0.00998645168764533,632,5.393198013305664,-490.56004666666666
6,-965.91224,0.8835521693234089,0.00998645168764533,937,8.002596139907837,-558.4675028571429
7,-979.02512,1.0553122104047776,0.00998645168764533,657,6.821131944656372,-611.037205
8,-977.85556,1.3052165406170568,0.00998645168764533,404,5.034126043319702,-651.7948
9,-993.7661,1.4165166916848697,0.00998645168764533,203,2.5243031978607178,-685.9919299999999
10,-983.1626,1.2090295927670522,0.00998645168764533,756,10.834849834442139,-713.0074454545455
11,-994.9707199999999,2.197103308834599,0.00998645168764533,209,2.527873992919922,-736.5043850000001
12,-987.66918,1.8493661432829829,0.00998645168764533,163,1.7829346656799316,-755.8247538461538
13,-981.00398,2.038990674164505,0.00998645168764533,747,7.116673946380615,-771.9089842857144
14,11.135919999999956,1.505574801946843,0.00998645168764533,784,10.18603801727295,-719.7059906666667
15,-992.23648,1.728472063818987,0.00998645168764533,184,2.8251209259033203,-736.73914625
16,-981.0062600000001,1.2775682944292275,0.00998645168764533,651,5.680772304534912,-751.1078
17,-983.4342,1.4084294618689281,0.00998645168764533,669,5.68172287940979,-764.0148222222222
18,-982.55918,1.9146380116333435,0.00998645168764533,174,1.47723388671875,-775.5171568421052
19,-994.9649599999999,1.2256316998438759,0.00998645168764533,209,1.782033920288086,-786.489547
20,-986.64178,2.2212751619068483,0.00998645168764533,114,0.97247314453125,-796.0206057142857
21,-983.2679400000001,1.5508649298231807,0.00998645168764533,154,1.3016538619995117,-804.5318481818181
22,-7.071200000000006,1.600538234060098,0.00998645168764533,448,3.8219058513641357,-769.8596460869566
23,-984.9082799999999,1.6349948746504945,0.00998645168764533,837,10.077605724334717,-778.8200058333333
24,-976.9080400000001,1.711756520870324,0.00998645168764533,557,4.729984998703003,-786.7435271999999
25,9.461039999999967,1.6378166560488925,0.00998645168764533,864,7.321058034896851,-756.1202746153847
26,13.36760000000001,1.585672532074902,0.00998645168764533,632,5.379657030105591,-727.6207237037037
27,12.80223999999994,1.9101637646580036,0.00998645168764533,656,5.572687864303589,-701.1770464285715
28,-976.4661199999999,1.5976247246167985,0.00998645168764533,837,7.143672704696655,-710.6697731034483
29,13.400960000000005,1.6357192369192675,0.00998645168764533,632,5.363811016082764,-686.534082
30,-7.071200000000006,1.4935926604250978,0.00998645168764533,448,3.8043267726898193,-664.615924516129
31,-980.92058,1.0871845598242456,0.00998645168764533,651,5.530444145202637,-674.500445
32,-993.09766,1.3599126978188485,0.00998645168764533,223,1.8954617977142334,-684.1549060606061
33,-981.37916,1.1970823501927224,0.00998645168764533,669,5.6795079708099365,-692.896795882353
34,-984.83906,0.8832986177800254,0.00998645168764533,183,1.5501601696014404,-701.2380034285713
35,-983.41236,2.031056980423561,0.00998645168764533,164,1.3768181800842285,-709.07618
36,-980.6301,1.4233146128310283,0.00998645168764533,639,5.410250902175903,-716.4154751351351
37,-992.52648,1.730381157787256,0.00998645168764533,193,1.6462421417236328,-723.6815542105263
38,-7.071200000000006,1.562008953935999,0.00998645168764533,448,3.81591796875,-705.3069297435898
39,-979.42132,1.4468048296947276,0.00998645168764533,629,5.338691711425781,-712.1597895
40,-992.52648,1.651481421355525,0.00998645168764533,193,1.6299419403076172,-718.9980014634147
41,-980.12036,1.2870991528395443,0.00998645168764533,709,6.008238077163696,-725.2152004761905
42,-995.73088,1.3455430108940962,0.00998645168764533,297,2.5186080932617188,-731.5062627906976
43,-979.09416,1.507646642355082,0.00998645168764533,560,6.691812992095947,-737.1332604545455
44,-984.8405,1.2241693816982373,0.00998645168764533,183,2.8133068084716797,-742.6378657777777
45,-986.64178,1.260373591984573,0.00998645168764533,114,1.752216100692749,-747.9422986956521
46,13.379120000000015,1.6118237893627603,0.00998645168764533,632,9.721418142318726,-731.7439706382978
47,-7.071200000000006,1.4256440675703093,0.00998645168764533,448,6.8938610553741455,-716.64662125
48,-982.8455200000001,1.0973394473478013,0.00998645168764533,689,10.597832918167114,-722.0792518367347
49,9.962160000000079,1.3321677815045339,0.00998645168764533,888,13.656331062316895,-707.4384236
50,-985.7672799999999,1.516526092101407,0.00998645168764533,273,4.198470830917358,-727.0123452
51,-994.9707199999999,1.749509739792019,0.00998645168764533,209,3.1629600524902344,-727.3221748000001
52,-984.88182,2.5951739303531376,0.00998645168764533,134,2.01725697517395,-727.3221748000001
53,-7.071200000000006,1.7050052196084704,0.00998645168764533,448,5.612565994262695,-727.3221748000001
54,13.373360000000012,1.9835781409218023,0.00998645168764533,632,5.35367226600647,-707.4898736
55,-977.51924,1.9339841318165432,0.00998645168764533,837,7.121390104293823,-727.307956
56,-994.90728,2.1218938126705553,0.00998645168764533,209,1.7789292335510254,-727.8878568
57,-980.14232,1.9321349675432584,0.00998645168764533,657,5.564051866531372,-727.9102008
58,-7.071200000000006,1.5278567891031603,0.00998645168764533,448,3.804818868637085,-708.4945136000001
59,-980.8687,1.3708229523474205,0.00998645168764533,746,6.342902183532715,-708.2365656000001
60,-7.362400000000006,1.9478517734317173,0.00998645168764533,464,3.924300193786621,-688.7205615999999
61,8.487360000000004,1.2860962251394417,0.00998645168764533,1056,15.52063512802124,-668.6514
62,-991.4988599999999,1.5437089567280406,0.00998645168764533,547,5.933107376098633,-668.7279936
63,13.361840000000008,1.3874426797471493,0.00998645168764533,632,5.360259056091309,-648.8406772
64,9.482159999999979,1.1309052635969474,0.00998645168764533,864,9.083503723144531,-648.8737524000001
65,-986.6268799999999,0.8610409512143351,0.00998645168764533,113,0.9598000049591064,-648.7615604
66,-984.8964199999999,0.9513026454106525,0.00998645168764533,135,1.1515781879425049,-648.8393636
67,-979.81348,1.0303280909395065,0.00998645168764533,748,6.34161114692688,-648.7669492
68,-986.32782,1.4115506042703398,0.00998645168764533,203,1.710339069366455,-648.842322
69,-7.071200000000006,0.9703585850022917,0.00998645168764533,448,3.7901532649993896,-629.0844468
70,13.379120000000015,1.21588832276499,0.00998645168764533,632,5.372205972671509,-609.0840288
71,-981.90428,0.9493087781462469,0.00998645168764533,748,6.340258836746216,-609.0567556
72,-984.6596599999999,1.4627573176811652,0.00998645168764533,174,1.4729468822479248,-628.6085248
73,-1000.6862199999999,1.1349757311753539,0.00998645168764533,382,3.243756055831909,-628.9240836
74,-980.8775400000001,1.3238978412255542,0.00998645168764533,651,5.5348570346832275,-629.0034736
75,-992.52648,1.243194064139895,0.00998645168764533,193,1.6483898162841797,-649.043224
76,-979.8508599999999,1.1711626942082218,0.00998645168764533,547,4.648263931274414,-668.9075932
77,-982.8397199999999,1.218191839150049,0.00998645168764533,788,6.912071228027344,-688.8204324
78,-986.6268799999999,1.9655483431034448,0.00998645168764533,113,0.9921140670776367,-689.0236476
79,-7.071200000000006,1.491394121920166,0.00998645168764533,448,3.9600071907043457,-689.4330908
80,-6.351520000000004,1.307789460616387,0.00998645168764533,464,4.096970081329346,-689.4186972
