episode,reward,loss,epsilon,steps,duration_sec,ma_reward_50
0,-195.37766000000002,0.2593807279283464,0.995,382,0.642603874206543,-195.37766000000002
1,-193.6266,0.34988663872395326,0.990025,501,0.9325649738311768,-194.50213000000002
2,-196.40008,0.46253519341866633,0.985074875,281,0.5204370021820068,-195.13478
3,-194.32544000000001,0.5562991090270731,0.9801495006250001,184,0.37007737159729004,-194.932445
4,-189.75436000000002,0.5518915641287419,0.9752487531218751,365,0.6640326976776123,-193.896828
5,-193.27834000000001,0.5257975218403904,0.9703725093562657,887,1.618492841720581,-193.7937466666667
6,-10.340560000000016,0.3407221477327812,0.9655206468094844,1592,3.067844867706299,-167.5861485714286
7,-194.8884,0.3180227583314006,0.960693043575437,609,1.133760929107666,-170.99893
8,-199.83532000000002,0.3669327748017608,0.9558895783575597,293,0.5401711463928223,-174.20297333333335
9,-199.56338000000002,0.3291085291561227,0.9511101304657719,382,0.7104909420013428,-176.73901400000003
10,-186.84584,0.4427491815553771,0.946354579813443,225,0.41988396644592285,-177.65781636363639
11,-198.59854,0.30866242119253373,0.9416228069143757,383,0.7129278182983398,-179.40287666666669
12,-7.838560000000007,0.46199711176732716,0.9369146928798039,536,1.0067999362945557,-166.20562153846154
13,-182.50338000000002,0.325872163514576,0.9322301194154049,471,0.8919758796691895,-167.36974714285716
14,-206.05822,0.29913852094907417,0.9275689688183278,1778,3.349520206451416,-169.94897866666668
15,-198.53302000000002,0.35063619346127906,0.9229311239742362,326,0.6077282428741455,-171.73548125000002
16,-189.91254000000004,0.33771027667961756,0.918316468354365,174,0.3235011100769043,-172.80472
17,-198.14168,0.30291556924475155,0.9137248860125932,313,0.5842230319976807,-174.21232888888892
18,-197.03602,0.33570522960308585,0.9091562615825302,758,1.4329242706298828,-175.4135757894737
19,-196.27142000000003,0.303819615719623,0.9046104802746175,322,0.6094818115234375,-176.45646800000003
20,-196.55774000000002,0.4370989473472597,0.9000874278732445,391,0.7344601154327393,-177.41367142857143
21,-197.74070000000003,0.3681938442514598,0.8955869907338783,547,1.0265591144561768,-178.3376272727273
22,-194.31432,0.3384129988025961,0.8911090557802088,384,0.7245650291442871,-179.03226608695655
23,-192.06,0.2871131560605036,0.8866535105013078,729,1.3695077896118164,-179.57508833333335
24,-193.76692000000003,0.3696901179209336,0.8822202429488013,605,1.1319618225097656,-180.1427616
25,-189.16226,0.2605456137546467,0.8778091417340573,391,0.732058048248291,-180.4896653846154
26,-199.63182000000003,0.37742053588550506,0.8734200960253871,986,1.8572852611541748,-181.19863407407408
27,-191.05064000000002,0.36054769208965204,0.8690529955452602,225,0.4217510223388672,-181.55049142857143
28,-189.5689,0.4396115476734235,0.8647077305675338,154,0.2894010543823242,-181.82698827586208
29,-194.71438000000003,0.3894458205149268,0.8603841919146962,755,1.4006669521331787,-182.25656800000004
30,-198.78136000000003,0.3237815840443287,0.8560822709551227,1145,2.1123719215393066,-182.78962580645165
31,-186.36786,0.3687051045754236,0.851801859600347,203,0.37513113021850586,-182.901445625
32,-188.35664,0.3886694891714962,0.8475428503023453,352,0.6576359272003174,-183.06675454545456
33,-192.63308,0.4236388290494224,0.8433051360508336,253,0.46733713150024414,-183.34811705882356
34,-191.83428,0.41165938794358886,0.8390886103705794,165,0.30614399909973145,-183.59057885714287
35,-196.00856000000002,0.3264122440259511,0.8348931673187264,313,0.5788421630859375,-183.9355227777778
36,-193.90224000000003,0.39164145292355523,0.8307187014821328,209,0.38680005073547363,-184.20489351351353
37,-197.90392,0.4307460191376865,0.8265651079747222,401,0.7392518520355225,-184.5653942105263
38,-190.32864,0.4725519808077176,0.8224322824348486,144,0.2687990665435791,-184.71316974358976
39,-189.97778000000002,0.4505632569109273,0.8183201210226743,274,0.5126588344573975,-184.84478500000003
40,-191.43040000000002,0.5022115437410425,0.8142285204175609,193,0.3622450828552246,-185.00540975609758
41,-198.32808,0.41551503399003215,0.810157377815473,273,0.5131597518920898,-185.3226161904762
42,-180.76918,0.5379867274649599,0.8061065909263957,590,1.1102509498596191,-185.2167223255814
43,-195.37646,0.4648150830454661,0.8020760579717637,382,0.7386610507965088,-185.44762545454546
44,-187.47176,0.56103019189437,0.798065677681905,457,0.8735129833221436,-185.49260622222226
45,-192.56504,0.5383271541004069,0.7940753492934954,400,0.7539613246917725,-185.6463547826087
46,-10.149680000000012,0.40001010707144874,0.7901049725470279,1240,2.481602907180786,-181.91238297872343
47,11.73696,0.49926750821578025,0.7861544476842928,1152,2.154230833053589,-177.87802166666668
48,-197.83516,0.3567660687381637,0.7822236754458713,293,0.5454580783843994,-178.28531020408164
49,-189.58,0.47774697044077796,0.778312557068642,209,0.3893759250640869,-178.511204
50,0.6464000000000061,0.43895107544742085,0.7744209942832988,656,1.249729871749878,-174.5907228
51,-194.87008,0.2859890216997152,0.7705488893118823,209,0.389894962310791,-174.61559240000003
52,-192.18628,0.43108630892911826,0.7666961448653229,332,0.6301119327545166,-174.5313164
