episode,reward,loss,epsilon,steps,duration_sec,ma_reward_50
0,-993.9928,0.6135131592349954,0.995,369,0.7338309288024902,-993.9928
1,-997.0872,2.1824836934466214,0.990025,337,0.756300687789917,-995.54
2,-997.1589,2.275646526992321,0.985074875,250,0.5480599403381348,-996.0796333333334
3,-987.10444,3.119558096077946,0.9801495006250001,485,1.0607051849365234,-993.835835
4,-995.2607399999999,2.364640777893177,0.9752487531218751,398,0.8915400505065918,-994.120816
5,-995.31908,1.9154002303738942,0.9703725093562657,445,0.9674839973449707,-994.3205266666668
6,-999.36316,2.73687739482411,0.9655206468094844,349,0.7662992477416992,-995.0409028571429
7,-993.17224,2.093628207763287,0.960693043575437,337,0.7345869541168213,-994.80732
8,-988.60982,2.607766780977448,0.9558895783575597,375,0.8257369995117188,-994.1187088888889
9,-992.41662,2.3676091216717565,0.9511101304657719,446,1.0087711811065674,-993.9485000000001
10,-994.82476,2.3450444417954763,0.946354579813443,421,0.9364640712738037,-994.02816
11,-995.34628,2.0943176971804167,0.9416228069143757,301,0.6654500961303711,-994.1380033333334
12,-999.1753600000001,2.4860898051241493,0.9369146928798039,481,1.06630277633667,-994.5254923076923
13,-991.05742,2.2203255729625173,0.9322301194154049,482,1.064338207244873,-994.2777728571428
14,-996.13552,2.3363897509814877,0.9275689688183278,337,0.7469391822814941,-994.4016226666666
15,-987.00968,2.7447275959571007,0.9229311239742362,481,1.0662047863006592,-993.93962625
16,-998.44876,2.901211302303888,0.918316468354365,260,0.5829508304595947,-994.2048694117647
17,-991.66264,1.9655390653848501,0.9137248860125932,433,1.1115059852600098,-994.0636344444445
18,-988.06814,2.3966386239363477,0.9091562615825302,394,0.891808032989502,-993.7480821052632
19,-988.7641600000001,2.5889156891772385,0.9046104802746175,553,1.2545158863067627,-993.498886
20,-998.58102,2.394043663263564,0.9000874278732445,414,0.9725580215454102,-993.7408923809523
21,-987.2918,2.8593366593440335,0.8955869907338783,445,1.0491046905517578,-993.4477518181818
22,-989.52896,1.901641213712458,0.8911090557802088,265,0.6777007579803467,-993.2773695652173
23,-991.79078,3.117583816769218,0.8866535105013078,423,0.9765219688415527,-993.2154283333333
24,-994.8961400000001,2.50853695118092,0.8822202429488013,326,0.8077490329742432,-993.2826567999999
25,-999.2057599999999,2.5416312825771405,0.8778091417340573,433,0.9857311248779297,-993.5104684615385
26,-997.12064,2.9814411640009713,0.8734200960253871,337,0.7690539360046387,-993.6441785185185
27,-998.95696,1.7802724060125867,0.8690529955452602,425,0.9514460563659668,-993.8339207142857
28,-987.5829200000001,2.7766605140542673,0.8647077305675338,413,0.9872961044311523,-993.6183689655173
29,-995.25486,3.0850872061588137,0.8603841919146962,346,0.849370002746582,-993.6729186666666
30,-998.76348,2.3200919219655582,0.8560822709551227,461,1.1773428916931152,-993.8371303225806
31,-984.146,2.15665686264437,0.851801859600347,489,1.1539051532745361,-993.5342825
32,-990.72658,2.2963835909043917,0.8475428503023453,370,0.9312238693237305,-993.4492006060607
33,-991.05208,2.24806482496115,0.8433051360508336,385,0.8932459354400635,-993.3786970588235
34,-996.55408,1.9638802028830948,0.8390886103705794,361,0.8151140213012695,-993.4694222857142
35,-993.23788,2.0306220564779087,0.8348931673187264,349,0.7817528247833252,-993.4629905555555
36,-991.76572,2.4217766011003983,0.8307187014821328,565,1.2870030403137207,-993.4171183783784
37,-986.3012,2.4812650913600125,0.8265651079747222,545,1.2310261726379395,-993.229857368421
38,-998.03736,2.5194339177943283,0.8224322824348486,337,0.7709481716156006,-993.3531266666666
39,-998.12108,2.352091923694207,0.8183201210226743,341,0.7698359489440918,-993.4723255000001
40,-995.2687599999999,2.300099991747732,0.8142285204175609,301,0.6732077598571777,-993.5161409756098
41,-994.9809,2.432845791239757,0.810157377815473,375,0.8377132415771484,-993.5510161904762
42,-992.59288,2.06768678061443,0.8061065909263957,457,1.0347719192504883,-993.5287339534884
43,-998.41268,2.5836824918522914,0.8020760579717637,444,0.999812126159668,-993.6397327272728
44,-996.28676,1.78023085162814,0.798065677681905,301,0.671950101852417,-993.6985555555555
45,-991.54832,2.7380349376104025,0.7940753492934954,505,1.1399049758911133,-993.6518113043478
46,-994.2889,2.0775210849880357,0.7901049725470279,447,1.0109331607818604,-993.6653663829787
47,-992.11552,2.4828747931570394,0.7861544476842928,209,0.46741390228271484,-993.6330779166666
48,-992.84482,2.8903270689213336,0.7822236754458713,375,0.8798320293426514,-993.6169910204081
49,-990.30244,3.171225060853311,0.778312557068642,396,0.8823308944702148,-993.5507000000001
50,-989.11404,1.7761297586275449,0.7744209942832988,293,0.6584429740905762,-993.4531248
51,-988.7889,2.3838047030345573,0.7705488893118823,231,0.5143799781799316,-993.2871588
52,-993.65912,2.9322298492742185,0.7666961448653229,225,0.5107748508453369,-993.2171632000001
53,-995.4026399999999,2.680424294493077,0.7628626641409962,305,0.6877789497375488,-993.3831272
54,-993.8544999999999,3.150862898602898,0.7590483508202912,279,0.636199951171875,-993.3550024
55,-986.88672,2.438268676624877,0.7552531090661897,329,0.7422988414764404,-993.1863552
56,-990.6840199999999,2.152370259788554,0.7514768435208588,183,0.41431403160095215,-993.0127723999999
57,-1000.6431200000001,2.2672623170045054,0.7477194593032545,361,0.8102359771728516,-993.16219
58,-991.0008799999999,2.614670021124736,0.7439808620067382,481,1.0834050178527832,-993.2100112
59,-1001.64832,2.3069713050891854,0.7402609576967045,457,1.0303151607513428,-993.3946451999999
60,-990.0868399999999,2.8582777389595817,0.736559652908221,533,1.188917875289917,-993.2998868
61,-997.5991,2.434632713691002,0.7328768546436799,362,0.8086967468261719,-993.3449432
62,-993.64616,2.4301088724123203,0.7292124703704616,369,0.8245787620544434,-993.2343592000001
63,-996.6649199999999,3.267305552660766,0.7255664080186093,221,0.49588704109191895,-993.3465092
64,-987.0596,2.3263298327116164,0.7219385759785162,433,0.9646320343017578,-993.1649907999999
65,-991.011,2.538325386606811,0.7183288830986236,477,1.1000900268554688,-993.2450172
66,-993.57756,2.7128233811502307,0.7147372386831305,365,0.8163712024688721,-993.1475932
67,-995.0756799999999,2.8279127861529423,0.7111635524897149,289,0.646414041519165,-993.2158539999999
68,-992.37606,2.86031284711574,0.7076077347272662,346,0.7761898040771484,-993.3020124
69,-979.27186,2.785120070749683,0.7040696960536299,711,1.6149518489837646,-993.1121664
70,-989.2069,2.070941602204559,0.7005493475733617,251,0.561180830001831,-992.924684
71,-993.87884,3.8738151348452994,0.697046600835495,332,0.740217924118042,-993.0564248
72,-995.28586,2.866222840945762,0.6935613678313175,351,0.7955608367919922,-993.1715628
73,-993.0268,2.122810624055492,0.6900935609921609,193,0.430264949798584,-993.1962832
74,-994.7092399999999,2.4910965008986152,0.6866430931872001,461,1.0307071208953857,-993.1925452
75,-993.59484,2.563137563335292,0.6832098777212641,221,0.49298691749572754,-993.0803268000001
76,-989.7816399999999,3.2150250420732394,0.6797938283326578,469,1.0493943691253662,-992.9335468
77,-989.75066,2.778778498083832,0.6763948591909945,566,1.2618458271026611,-992.7494207999999
78,-994.4019599999999,3.0207733019232714,0.6730128848950395,260,0.5795748233795166,-992.8858015999999
79,-987.59654,2.864967041323424,0.6696478204705644,554,1.2378318309783936,-992.7326351999999
80,-993.92468,3.7021452419758645,0.6662995813682115,284,0.6345858573913574,-992.6358592
81,-987.80552,2.5154388899157882,0.6629680834613705,513,1.175079107284546,-992.7090496
82,-991.0612799999999,2.8283524933652986,0.6596532430440636,289,0.6461329460144043,-992.7157436
83,3.1328800000000037,2.8724734528854103,0.6563549768288433,832,1.8571622371673584,-972.8320444
84,-991.84036,2.1709451553469297,0.653073201944699,421,0.9595942497253418,-972.7377700000001
85,-990.35268,2.8123438263860923,0.6498078359349755,397,0.8879561424255371,-972.6800659999999
86,-990.28428,1.9940229457358576,0.6465587967553006,253,0.564946174621582,-972.6504372
87,-990.6580399999999,2.4583066534350513,0.6433260027715241,269,0.6079132556915283,-972.737574
88,-984.36326,2.383112232193284,0.6401093727576664,542,1.212683916091919,-972.4640919999999
89,-987.05816,2.4276281777216355,0.6369088258938781,480,1.0719711780548096,-972.2428336
90,-990.2539400000001,2.569015327199787,0.6337242817644086,539,1.2124228477478027,-972.1425371999999
91,-993.89362,2.531558102161082,0.6305556603555866,423,1.0187551975250244,-972.1207916
92,-985.71774,2.5022348581806426,0.6274028820538087,510,1.2194669246673584,-971.9832888
93,-995.14176,2.477990268029408,0.6242658676435396,337,0.7666549682617188,-971.9178704
94,-971.3241399999999,2.615776937115013,0.6211445383053219,662,1.488619089126587,-971.418618
95,-984.29572,1.9534698703480247,0.6180388156137953,493,1.1094059944152832,-971.273566
96,1.9023999999999992,2.120974002887999,0.6149486215357263,848,2.006891965866089,-951.34974
97,-989.26116,2.2118860405852745,0.6118738784280476,164,0.39601802825927734,-951.2926527999999
98,-980.6738799999999,1.8671062801715959,0.6088145090359074,516,1.2448108196258545,-951.049234
99,-995.7846999999999,1.6524093246674534,0.6057704364907278,278,0.7065451145172119,-951.1588791999999
100,-996.37766,1.8955523578043705,0.6027415843082742,542,1.3263030052185059,-951.3041516000001
101,-977.8524,2.0451418502218757,0.5997278763867329,633,1.5418980121612549,-951.0854216
102,-997.51292,1.818801363886064,0.5967292370047992,452,1.0804619789123535,-951.1624975999999
103,-975.13928,2.003371563940536,0.5937455908197752,1025,2.496793031692505,-950.7572304
104,-982.21896,1.9192781285520337,0.5907768628656763,601,1.3998992443084717,-950.5245196
105,-990.3691,1.6470057580841002,0.5878229785513479,490,1.123081922531128,-950.5941671999999
106,-998.2889,1.959677330023609,0.5848838636585911,250,0.5842928886413574,-950.7462648
107,-985.6407399999999,2.0692629288141537,0.5819594443402982,183,0.4249308109283447,-950.4462172
108,-996.24522,2.1455230786055326,0.5790496471185967,250,0.5885341167449951,-950.551104
109,-988.25634,1.8476529006383242,0.5761543988830038,351,0.8262288570404053,-950.2832644
110,-993.3732799999999,1.7856014600411678,0.5732736268885887,345,0.8094460964202881,-950.3489932
111,-996.5744,2.6171653921750875,0.5704072587541458,313,0.7572119235992432,-950.3284991999999
112,-988.4057399999999,2.7008448101123075,0.567555222460375,542,1.2699170112609863,-950.2236908
113,-989.84766,2.1779585233317875,0.5647174463480732,558,1.3019359111785889,-950.0873455999999
114,-982.58054,1.604582611898593,0.5618938591163328,602,1.4001100063323975,-949.9977644
115,-995.12552,1.8466909096391824,0.5590843898207511,385,0.8767349720001221,-950.0800548
116,-986.4603999999999,1.8844820104276658,0.5562889678716474,545,1.234691858291626,-949.9377116000001
117,-990.46604,1.9540023230293437,0.5535075230322891,404,0.9136929512023926,-949.8455188
118,-994.00568,1.3961982436326135,0.5507399854171277,193,0.43854689598083496,-949.8781112
119,-962.6518199999998,2.0329052600550215,0.547986285490042,854,1.9570858478546143,-949.5457104
120,-977.6819399999999,1.8445909108977068,0.5452463540625918,711,1.591536045074463,-949.3152112
121,-988.7894799999999,1.5057933612374341,0.5425201222922789,421,0.9503741264343262,-949.2134239999999
122,-996.4389199999999,2.031961327109781,0.5398075216808175,404,0.9111983776092529,-949.2364852000001
123,-988.40122,2.3436992079097316,0.5371084840724134,491,1.1165261268615723,-949.1439736
124,-990.8407599999999,2.2259836442202485,0.5344229416520513,517,1.1625370979309082,-949.066604
125,-994.94684,1.7149638127835736,0.531750826943791,332,0.7469592094421387,-949.0936439999999
126,-992.23856,1.6768073068623248,0.5290920728090721,585,1.318917989730835,-949.1427824
127,-987.94902,2.45873318319455,0.5264466124450268,615,1.4055218696594238,-949.1067496000001
128,-992.16512,2.370030550627261,0.5238143793828016,585,1.335848093032837,-949.0620127999999
129,-990.4962,1.8633908926812,0.5211953074858876,500,1.1482067108154297,-949.120006
130,-989.4400400000001,2.037768529370634,0.5185893309484582,356,0.811305046081543,-949.0303131999999
131,-989.3012799999999,2.0652400866969334,0.5159963842937159,489,1.1134121417999268,-949.0602284
132,-990.7323,1.9382072201498297,0.5134164023722473,562,1.294726848602295,-949.0536487999999
133,-990.5202,2.3888723196623993,0.510849320360386,356,0.7969348430633545,-968.9267104
134,-951.0838799999997,1.9541480993726574,0.5082950737585841,1212,2.737046957015991,-968.1115808
135,-991.4714,2.164200150025638,0.5057535983897912,452,1.0381789207458496,-968.1339552
136,-981.80548,1.958818885389259,0.5032248303978422,661,1.4902946949005127,-967.9643791999999
137,-989.02864,1.788563666030158,0.500708706245853,433,0.9698588848114014,-967.9317912
138,-990.8109,1.9848397949613794,0.4982051627146237,183,0.41294193267822266,-968.060744
139,-975.2045800000001,2.2042630735908197,0.49571413690105054,830,1.867793321609497,-967.8236724
140,-993.95164,1.399270343749066,0.4932355662165453,476,1.070970058441162,-967.8976264
141,-960.7749799999999,1.853189446917884,0.4907693883854626,819,1.8247871398925781,-967.2352536
142,-978.4574,1.8500787654056852,0.4883155414435353,692,1.611051082611084,-967.0900468
143,-995.80884,2.2724102985919106,0.4858739637363176,229,0.5223209857940674,-967.1033884
144,-989.14032,1.3549863491081506,0.483444593917636,481,1.0846900939941406,-967.459712
145,-978.04508,2.01249425246891,0.4810273709480478,589,1.3379781246185303,-967.3346992
146,-990.0322399999999,1.6042652945962756,0.47862223409330756,336,0.7529850006103516,-987.173392
147,-990.6802399999999,1.8947208041318238,0.47622912292284103,601,1.3532938957214355,-987.2017736
148,-985.88766,2.1004733974836327,0.4738479773082268,519,1.173151969909668,-987.3060492
149,-981.0713599999999,1.8916183583643384,0.47147873742168567,577,1.3355910778045654,-987.0117823999999
150,-964.7975599999999,2.0395987591291993,0.46912134373457726,860,1.9405567646026611,-986.3801804
151,-995.80122,1.5368230993463907,0.46677573701590436,279,0.6343848705291748,-986.7391567999999
152,-975.0729200000001,1.1539185888220076,0.46444185833082485,692,1.5537302494049072,-986.2903568
153,-965.1802399999998,1.8686047117722673,0.46211964903917074,881,1.9663476943969727,-986.091176
154,-986.2099400000001,1.7160441099799104,0.4598090507939749,203,0.46863698959350586,-986.1709956
155,-975.5337999999999,1.8905369830107428,0.457510005540005,653,1.488990068435669,-985.8742895999999
156,-990.72202,2.0091026589796703,0.45522245551230495,370,0.8546459674835205,-985.722952
157,-950.6923399999997,2.01900729114419,0.4529463432347434,979,2.3039510250091553,-985.0239839999999
158,-995.33592,2.175821695741663,0.4506816115185697,305,0.6983470916748047,-985.0057979999999
159,-987.33718,1.5882564779171453,0.4484282034609769,490,1.0979409217834473,-984.9874148
